Week,Bitcoin: (Worldwide),Ethereum: (Worldwide),Ripple: (Worldwide),Bitcoin Cash: (Worldwide),Litecoin: (Worldwide)
1/1/17,7,3,2,0.3,1
1/8/17,6,3,2,0.5,0.4
1/15/17,4,2,2,0.3,0.4
1/22/17,4,2,2,0.3,0.4
1/29/17,4,2,2,0.4,1
2/5/17,5,2,2,0.3,1
2/12/17,4,3,2,0.2,0.4
2/19/17,5,3,2,1,0.4
2/26/17,6,6,2,1,1
3/5/17,7,5,2,1,1
3/12/17,6,12,2,1,1
3/19/17,6,10,2,2,1
3/26/17,5,8,2,2,1
4/2/17,5,7,3,1,2
4/9/17,5,6,2,2,2
4/16/17,5,6,2,2,2
4/23/17,5,10,2,2,2
4/30/17,7,17,3,2,3
5/7/17,9,13,5,2,4
5/14/17,11,15,6,2,3
5/21/17,19,45,6,2,5
5/28/17,12,36,5,2,3
6/4/17,12,42,5,1,8
6/11/17,13,72,5,1,8
6/18/17,11,53,5,1,7
6/25/17,11,54,4,1,4
7/2/17,9,33,4,1,5
7/9/17,10,40,4,1,5
7/16/17,12,37,4,1,4
7/23/17,11,26,4,7,3
7/30/17,15,23,4,47,4
8/6/17,14,31,4,15,4
8/13/17,20,30,4,19,4
8/20/17,16,26,8,16,4
8/27/17,17,33,6,9,10
9/3/17,18,30,5,6,8
9/10/17,21,26,4,4,6
9/17/17,16,22,4,4,4
9/24/17,13,18,4,4,4
10/1/17,12,17,5,4,3
10/8/17,19,22,7,6,5
10/15/17,20,27,7,7,5
10/22/17,21,22,5,6,4
10/29/17,28,27,5,13,5
11/5/17,29,30,6,25,7
11/12/17,32,27,7,48,6
11/19/17,28,43,8,18,9
11/26/17,66,65,13,20,21
12/3/17,92,75,14,21,32
12/10/17,86,100,53,23,100
12/17/17,100,87,59,100,54
12/24/17,62,55,69,22,27
12/31/17,47,70,100,17,25
1/7/18,46,95,72,15,21
1/14/18,57,77,45,12,17
1/21/18,38,45,24,8,11
1/28/18,41,47,23,8,11
2/4/18,48,43,21,9,12
2/11/18,28,28,16,7,18
2/18/18,24,25,13,7,16
2/25/18,19,21,10,5,9